1024 40
523.2 41.6
320 44.8
156.8 54.4
552 56
1024 57.6
350.4 60.8
1070.4 62.4
569.6 72
232 73.6
348.8 81.6
852.8 81.6
368 91.2
328 94.4
556.8 94.4
240 97.6
899.2 99.2
140.8 105.6
160 110.4
179.2 113.6
507.2 113.6
200 116.8
289.6 120
536 120
940.8 142.4
124.8 145.6
158.4 147.2
344 153.6
126.4 156.8
1032 158.4
651.2 163.2
115.2 168
400 177.6
201.6 179.2
507.2 179.2
681.6 179.2
116.8 184
600 188.8
921.6 188.8
955.2 193.6
1011.2 195.2
372.8 198.4
603.2 208
918.4 209.6
651.2 211.2
385.6 212.8
950.4 212.8
1003.2 228.8
107.2 240
950.4 240
961.6 240
468.8 244.8
281.6 259.2
440 260.8
577.6 260.8
660.8 264
972.8 264
1057.6 265.6
337.6 267.2
1014.4 272
944 276.8
123.2 280
572.8 280
196.8 281.6
296 288
670.4 294.4
931.2 297.6
595.2 302.4
1038.4 305.6
1104 313.6
1011.2 316.8
1067.2 316.8
744 323.2
720 339.2
1019.2 339.2
614.4 342.4
667.2 363.2
692.8 366.4
174.4 368
945.6 374.4
926.4 390.4
937.6 411.2
921.6 414.4
604.8 424
859.2 446.4
872 454.4
534.4 460.8
129.6 473.6
150.4 473.6
841.6 475.2
1048 475.2
603.2 484.8
556.8 488
307.2 508.8
816 513.6
889.6 513.6
558.4 524.8
278.4 556.8
736 556.8
572.8 561.6
585.6 601.6
792 603.2
918.4 603.2
756.8 604.8
891.2 606.4
1000 606.4
377.6 609.6
540.8 616
732.8 616
595.2 630.4
1051.2 656
561.6 660.8
968 667.2
1032 673.6
1041.6 684.8
403.2 686.4
878.4 691.2
1001.6 691.2
1025.6 700.8
961.6 707.2
376 718.4
166.4 724.8
115.2 766.4
388.8 766.4
950.4 784
156.8 801.6
636.8 803.2
1022.4 808
312 812.8
41.6 822.4
420.8 824
659.2 830.4
792 833.6
208 835.2
169.6 852.8
785.6 859.2
49.6 867.2
302.4 870.4
201.6 873.6
464 873.6
648 875.2
848 875.2
315.2 876.8
572.8 876.8
744 876.8
688 881.6
