
0	95.6670626216	52.2040343	15.2132153813	26	0
2	95.6273376203	39.7611162815	17.3761086102	26	0
3	95.6273376203	39.7611162815	17.3761086102	26	0
4	95.5975438693	30.3718305672	19.0829914612	26	0


0	95.6670626216	31.1492723952	24.3179772861	27	0
2	95.5478876177	22.68968771	32.1706533558	27	0
3	95.5478876177	22.68968771	32.1706533558	27	0
4	95.5031969912	15.8611162815	34.7309776323	27	0


0	95.6670626216	18.9147485857	41.3894058575	28	0
2	95.5329907422	14.7230210434	52.6562376384	28	0
3	95.5329907422	14.7230210434	52.6562376384	28	0
4	95.4038844879	12.1623067576	60.0527299928	28	0


0	95.6670626216	16.0695104904	62.4441677623	29	0
2	95.6074751196	17.8527829481	73.427125749	29	0
3	95.6074751196	17.8527829481	73.427125749	29	0
4	95.5131282415	17.8527829481	78.8322547772	29	0


0	95.6670626216	25.1742723952	83.2144058575	30	0
2	95.6670626216	32.9325448529	89.9300267136	30	0
3	95.6670626216	32.9325448529	89.9300267136	30	0
4	95.5677501183	38.6230210434	95.619636217	30	0


0	95.6670626216	45.9445104904	93.7417868099	31	0
2	95.6670626216	57.6861162815	95.9050267136	31	0
3	95.6670626216	57.6861162815	95.9050267136	31	0
4	95.6323032455	61.6694496148	97.8963900398	31	0


0	95.6670626216	70.4135581095	92.0346439528	32	0
2	95.6670626216	80.1634972338	87.6538362374	32	0
3	95.6670626216	80.1634972338	87.6538362374	32	0
4	95.6918907474	87.2765924719	86.2314338616	32	0


0	95.6670626216	87.2004628714	82.0763106194	33	0
2	95.6025094945	93.2515924719	70.5818443194	33	0
3	95.6025094945	93.2515924719	70.5818443194	33	0
4	95.6819594971	98.0884972338	66.0301567167	33	0


0	95.6670626216	93.4599866809	59.3144058575	34	0
2	95.6670626216	94.9587353291	46.3978838565	34	0
3	95.6670626216	94.9587353291	46.3978838565	34	0
4	95.6670626216	94.9587353291	46.3978838565	34	0


0	95.6670626216	88.3385581095	33.7072630004	35	0
2	95.5230594918	80.7325448529	25.0573414459	35	0
3	95.5230594918	80.7325448529	25.0573414459	35	0
4	95.5230594918	80.7325448529	25.0573414459	35	0


0	95.6670626216	74.1123676333	20.6191677623	36	0
2	95.8805845037	61.9539734243	14.533080567	36	0
3	95.8805845037	61.9539734243	14.533080567	36	0
4	95.9352063805	51.995640091	11.4037953402	36	0

