# from project org.mastodon.revised.mamut.ProjectManager@5c535f68
# TIME	X	Y	Z	TRACK_ID	PARENT_TRACK_ID

# one tree of tracks:
#	1	
0	234.69177854210585	80.3796738045046	148.48973704648841	1	0
1	235.0004649432769	80.27887297749675	148.62544169611309	1	0
2	235.69040731764522	80.04948792119458	148.926276288015	1	0
3	236.57641427906668	79.6272020208735	149.14558266303263	1	0
4	237.421331359262	79.15614144980354	149.32856898809862	1	0
5	238.2807546808409	78.60403198774122	149.51898673562226	1	0
6	238.86402059643854	78.19948508903668	149.67697918901524	1	0
7	239.35909753796003	77.82418289439822	149.80144977266878	1	0
8	239.77900884651723	77.44520312634201	149.81100231898995	1	0
9	240.1051589010421	77.16398243045388	149.75695461200587	1	0
10	240.3247711966845	76.8870661371093	149.62718010706269	1	0
11	240.48080589254766	76.63726169844021	149.47404679376083	1	0
12	240.61237203223698	76.40156828577652	149.28695273360924	1	0
13	240.70488787666434	76.20918009810792	149.093728100911	1	0
14	240.79626201181344	75.99100766992859	148.85898792206646	1	0
15	240.85920785076473	75.82083812218195	148.6433560251083	1	0
16	240.89818262411347	75.61848404255319	148.41919326241134	1	0
17	240.89477199857498	75.39837905236908	148.20680441752762	1	0
18	240.87223707664884	75.18743315508021	148.02883244206774	1	0
19	240.8420207785259	75.04690774512864	147.91652918357337	1	0
20	240.7978751897152	74.84059458976877	147.76533345237033	1	0
21	240.7395006687472	74.6032991529202	147.6103432902363	1	0
22	240.6800678238365	74.38298157154969	147.46146981393065	1	0
23	240.62662801070474	74.20414808206958	147.34157002676181	1	0
24	240.57075408667765	73.97505679034342	147.19054830519798	1	0
25	240.51146737920286	73.77105321754621	147.0768648407927	1	0
26	240.44175188972878	73.55891507336594	146.96860827034237	1	0
27	240.3872315831592	73.33214777930912	146.85906726537144	1	0
28	240.33129079525776	73.12890191376937	146.7536077438835	1	0
29	240.2560099352435	72.87430142819126	146.6293355805908	1	0
30	240.2014557720474	72.67267320580534	146.52873818294793	1	0
31	240.1296485084881	72.46744381897966	146.4377022295111	1	0
32	240.06798012069578	72.23238374156905	146.32836350727723	1	0
33	239.99644491845532	72.02270808336667	146.2295249522286	1	0
34	239.9361010990967	71.78965870155298	146.12757531259734	1	0
35	239.8678380782918	71.58883451957296	146.03976868327402	1	0
36	239.7955263040868	71.4028994530173	145.9561524436341	1	0
37	239.73347291518175	71.19863684960798	145.85704739843194	1	0
38	239.65042024280694	70.98012184817895	145.7492773602526	1	0
39	239.5758922618783	70.77825681141384	145.66056269167518	1	0
40	239.51552712248434	70.5673730507797	145.5643076102892	1	0


# one tree of tracks:
#	3	
0	221.90407888839084	93.19856566562079	141.21873599282833	3	0
1	221.6465743167353	93.31271059528267	140.9959752901535	3	0
2	221.03749121299694	93.65461220026556	140.45114426306336	3	0
3	220.2117515167502	94.05071221313638	139.73621735689792	3	0
4	219.4031528986326	94.47513843372133	139.2207594078427	3	0
5	218.48065800701622	94.8010808760785	138.8373471129231	3	0
6	217.7411193457705	94.96251810205298	138.6923928784394	3	0
7	217.0207693619925	95.09109518935517	138.68184919822585	3	0
8	216.39952204156532	95.13139589467845	138.71433448555456	3	0
9	215.88336840297163	95.17189848413278	138.8032808004466	3	0
10	215.44063631660632	95.1351526125194	138.9241679599931	3	0
11	215.0760964148973	95.0502523494605	139.06400104420467	3	0
12	214.78004198005948	94.89666783277943	139.21676578625153	3	0
13	214.5503190319032	94.70521452145215	139.37271727172717	3	0
14	214.40525361517712	94.47813204793702	139.49414053862822	3	0
15	214.30455997161107	94.24223740241305	139.54981369765792	3	0
16	214.2741462113127	93.96077908217715	139.52934898612594	3	0
17	214.27130124777185	93.76434937611408	139.50882352941176	3	0
18	214.28600713012477	93.53400178253119	139.42032085561496	3	0
19	214.2842918378282	93.37243257724593	139.36444007858546	3	0
20	214.2615590797409	93.17087335269153	139.27035961581416	3	0
21	214.22526785714285	92.9909375	139.1589732142857	3	0
22	214.18656316916488	92.82325124910778	139.08168272662385	3	0
23	214.16742464776172	92.68797931157482	139.00713393971822	3	0
24	214.11276017292863	92.5112091634354	138.91772518607658	3	0
25	214.06004196241238	92.3603856970671	138.84701575822507	3	0
26	213.9879136562305	92.21055213629471	138.77004727499778	3	0
27	213.92266130832775	92.0428220584952	138.689260995758	3	0
28	213.83446954506974	91.85487679900191	138.58918148197657	3	0
29	213.7457362264488	91.68224841503705	138.5071434949549	3	0
30	213.64541636883487	91.54127948534668	138.43406004288778	3	0
31	213.54836545771656	91.39412369750906	138.3616117347167	3	0
32	213.44871508379887	91.25354189944134	138.28478212290503	3	0
